상담소번호,X,Y,상담유형,방문시간
13,37.5535666,126.9473086,신체적 정신적 건강,19
7,37.55453562,126.936161,외모,22
11,37.5546018,126.9268837,대인관계,22
13,37.5535666,126.9473086,대인관계,19
5,37.55839451,126.9030374,외모,17
9,37.54716014,126.9315773,외모,21
11,37.5546018,126.9268837,신체적 정신적 건강,22
13,37.5535666,126.9473086,진로 및 적성,19
4,37.56929705,126.9061061,외모,23
15,37.55327854,126.9580154,가정환경,18
15,37.55327854,126.9580154,성적,18
13,37.5535666,126.9473086,신체적 정신적 건강,17
8,37.54711001,126.9530815,가정환경,16
15,37.55327854,126.9580154,신체적 정신적 건강,20
13,37.5535666,126.9473086,성적,23
4,37.56929705,126.9061061,경제적 어려움,21
11,37.5546018,126.9268837,진로 및 적성,23
5,37.55839451,126.9030374,신체적 정신적 건강,21
12,37.55854111,126.9202243,진로 및 적성,18
11,37.5546018,126.9268837,외모,19
6,37.54670824,126.9394258,진로 및 적성,20
8,37.54711001,126.9530815,대인관계,20
5,37.55839451,126.9030374,대인관계,22
8,37.54711001,126.9530815,경제적 어려움,19
15,37.55327854,126.9580154,가정환경,19
13,37.5535666,126.9473086,경제적 어려움,16
11,37.5546018,126.9268837,진로 및 적성,20
2,37.57630816,126.8930697,진로 및 적성,17
15,37.55327854,126.9580154,경제적 어려움,20
16,37.55054485,126.9187402,외모,16
7,37.55453562,126.936161,대인관계,16
12,37.55854111,126.9202243,신체적 정신적 건강,20
3,37.54461185,126.9442751,성적,19
14,37.53887854,126.9498621,신체적 정신적 건강,16
5,37.55839451,126.9030374,성적,16
10,37.5553472,126.9111576,경제적 어려움,16
6,37.54670824,126.9394258,외모,18
9,37.54716014,126.9315773,대인관계,18
16,37.55054485,126.9187402,외모,21
11,37.5546018,126.9268837,외모,19
10,37.5553472,126.9111576,성적,18
6,37.54670824,126.9394258,가정환경,22
9,37.54716014,126.9315773,경제적 어려움,19
2,37.57630816,126.8930697,대인관계,18
2,37.57630816,126.8930697,대인관계,21
8,37.54711001,126.9530815,진로 및 적성,23
7,37.55453562,126.936161,신체적 정신적 건강,17
7,37.55453562,126.936161,가정환경,23
3,37.54461185,126.9442751,외모,20
16,37.55054485,126.9187402,신체적 정신적 건강,18
15,37.55327854,126.9580154,진로 및 적성,22
1,37.58184281,126.8813867,진로 및 적성,22
10,37.5553472,126.9111576,경제적 어려움,17
14,37.53887854,126.9498621,진로 및 적성,18
3,37.54461185,126.9442751,진로 및 적성,20
4,37.56929705,126.9061061,신체적 정신적 건강,17
14,37.53887854,126.9498621,경제적 어려움,23
4,37.56929705,126.9061061,가정환경,17
11,37.5546018,126.9268837,성적,19
9,37.54716014,126.9315773,진로 및 적성,19
1,37.58184281,126.8813867,성적,22
10,37.5553472,126.9111576,진로 및 적성,20
8,37.54711001,126.9530815,대인관계,22
3,37.54461185,126.9442751,외모,18
11,37.5546018,126.9268837,가정환경,23
1,37.58184281,126.8813867,가정환경,20
15,37.55327854,126.9580154,가정환경,16
2,37.57630816,126.8930697,진로 및 적성,16
2,37.57630816,126.8930697,가정환경,20
14,37.53887854,126.9498621,진로 및 적성,21
2,37.57630816,126.8930697,신체적 정신적 건강,19
13,37.5535666,126.9473086,진로 및 적성,20
1,37.58184281,126.8813867,성적,22
13,37.5535666,126.9473086,가정환경,18
6,37.54670824,126.9394258,가정환경,21
7,37.55453562,126.936161,신체적 정신적 건강,21
11,37.5546018,126.9268837,성적,19
5,37.55839451,126.9030374,성적,21
9,37.54716014,126.9315773,경제적 어려움,17
6,37.54670824,126.9394258,신체적 정신적 건강,17
16,37.55054485,126.9187402,성적,18
8,37.54711001,126.9530815,신체적 정신적 건강,17
6,37.54670824,126.9394258,가정환경,21
12,37.55854111,126.9202243,대인관계,20
13,37.5535666,126.9473086,가정환경,23
9,37.54716014,126.9315773,성적,16
6,37.54670824,126.9394258,가정환경,22
15,37.55327854,126.9580154,가정환경,21
7,37.55453562,126.936161,진로 및 적성,20
11,37.5546018,126.9268837,경제적 어려움,18
9,37.54716014,126.9315773,진로 및 적성,21
3,37.54461185,126.9442751,신체적 정신적 건강,17
7,37.55453562,126.936161,가정환경,21
6,37.54670824,126.9394258,경제적 어려움,18
14,37.53887854,126.9498621,신체적 정신적 건강,16
6,37.54670824,126.9394258,경제적 어려움,22
15,37.55327854,126.9580154,신체적 정신적 건강,22
3,37.54461185,126.9442751,경제적 어려움,17
12,37.55854111,126.9202243,성적,18
8,37.54711001,126.9530815,성적,16
15,37.55327854,126.9580154,경제적 어려움,16
9,37.54716014,126.9315773,성적,18
15,37.55327854,126.9580154,진로 및 적성,18
4,37.56929705,126.9061061,경제적 어려움,18
14,37.53887854,126.9498621,진로 및 적성,19
12,37.55854111,126.9202243,대인관계,18
15,37.55327854,126.9580154,가정환경,23
13,37.5535666,126.9473086,경제적 어려움,21
9,37.54716014,126.9315773,성적,18
10,37.5553472,126.9111576,외모,17
6,37.54670824,126.9394258,신체적 정신적 건강,18
12,37.55854111,126.9202243,진로 및 적성,23
14,37.53887854,126.9498621,신체적 정신적 건강,23
13,37.5535666,126.9473086,대인관계,19
12,37.55854111,126.9202243,진로 및 적성,17
8,37.54711001,126.9530815,대인관계,21
8,37.54711001,126.9530815,성적,20
12,37.55854111,126.9202243,신체적 정신적 건강,22
12,37.55854111,126.9202243,경제적 어려움,18
2,37.57630816,126.8930697,가정환경,17
6,37.54670824,126.9394258,대인관계,16
12,37.55854111,126.9202243,외모,21
3,37.54461185,126.9442751,진로 및 적성,17
15,37.55327854,126.9580154,가정환경,16
4,37.56929705,126.9061061,진로 및 적성,21
10,37.5553472,126.9111576,진로 및 적성,23
16,37.55054485,126.9187402,경제적 어려움,19
10,37.5553472,126.9111576,성적,17
14,37.53887854,126.9498621,가정환경,16
4,37.56929705,126.9061061,성적,23
10,37.5553472,126.9111576,신체적 정신적 건강,21
3,37.54461185,126.9442751,경제적 어려움,20
14,37.53887854,126.9498621,진로 및 적성,22
9,37.54716014,126.9315773,진로 및 적성,19
10,37.5553472,126.9111576,경제적 어려움,20
1,37.58184281,126.8813867,외모,19
11,37.5546018,126.9268837,경제적 어려움,19
2,37.57630816,126.8930697,신체적 정신적 건강,22
4,37.56929705,126.9061061,대인관계,18
3,37.54461185,126.9442751,가정환경,21
8,37.54711001,126.9530815,외모,23
14,37.53887854,126.9498621,대인관계,21
9,37.54716014,126.9315773,대인관계,19
2,37.57630816,126.8930697,진로 및 적성,19
7,37.55453562,126.936161,외모,16
12,37.55854111,126.9202243,성적,17
15,37.55327854,126.9580154,대인관계,16
8,37.54711001,126.9530815,성적,23
6,37.54670824,126.9394258,진로 및 적성,21
4,37.56929705,126.9061061,경제적 어려움,23
11,37.5546018,126.9268837,신체적 정신적 건강,21
4,37.56929705,126.9061061,가정환경,17
10,37.5553472,126.9111576,성적,21
2,37.57630816,126.8930697,대인관계,16
8,37.54711001,126.9530815,신체적 정신적 건강,17
5,37.55839451,126.9030374,진로 및 적성,18
7,37.55453562,126.936161,외모,22
13,37.5535666,126.9473086,진로 및 적성,16
11,37.5546018,126.9268837,신체적 정신적 건강,18
